"","Species","trait","c","T0","Tm","sample_num"
"1","Aedes albopictus","MDR",5.81075470723549e-05,7.26179141534089,39.6479449744697,1
"2","Aedes albopictus","MDR",6.29951534889479e-05,6.64446375850221,38.1941596860547,2
"3","Aedes albopictus","MDR",6.40374354621124e-05,6.81250817243799,38.9063959141972,3
"4","Aedes albopictus","MDR",5.99042665588464e-05,6.66380522030404,39.8653486240904,4
"5","Aedes albopictus","MDR",5.80973711265598e-05,6.93870623658347,39.9939181676668,5
"6","Aedes albopictus","MDR",6.31777185130238e-05,8.18689387509185,38.6452796858566,6
"7","Aedes albopictus","MDR",7.02618994537531e-05,7.44304270239043,38.279065530184,7
"8","Aedes albopictus","MDR",6.83081764654742e-05,7.80672142029626,38.6829657671263,8
"9","Aedes albopictus","MDR",6.88531262205307e-05,7.21591040466775,38.1773916315241,9
"10","Aedes albopictus","MDR",6.7610100803608e-05,6.82883767116474,38.1164924443856,10
"11","Aedes albopictus","MDR",6.95318167707172e-05,7.88738547549168,37.9296395637498,11
"12","Aedes albopictus","MDR",7.37724314131251e-05,9.30339863954106,37.8729976265147,12
"13","Aedes albopictus","MDR",7.90099260307205e-05,9.40036981422203,37.928760865187,13
"14","Aedes albopictus","MDR",8.07212810677118e-05,9.51364775768741,37.9089866997345,14
"15","Aedes albopictus","MDR",7.542925215754e-05,8.87592903912757,38.1178718324835,15
"16","Aedes albopictus","MDR",7.05570646095161e-05,8.84723989602648,38.6058022535598,16
"17","Aedes albopictus","MDR",7.12940965926069e-05,9.06566046216594,38.2154798088016,17
"18","Aedes albopictus","MDR",7.6009705633028e-05,9.10148327228434,37.6273236034945,18
"19","Aedes albopictus","MDR",7.79078892508287e-05,9.13750000033287,38.0275844708532,19
"20","Aedes albopictus","MDR",6.79880521087938e-05,9.08800965632778,38.8268781953818,20
"21","Aedes albopictus","MDR",7.29887147160482e-05,8.27409300978976,39.0959191703011,21
"22","Aedes albopictus","MDR",6.90722998558166e-05,8.74377313819462,37.9498018254902,22
"23","Aedes albopictus","MDR",7.30753585746535e-05,8.7329494828763,38.5009245866159,23
"24","Aedes albopictus","MDR",7.30394198952963e-05,9.55878648784986,38.8453330171194,24
"25","Aedes albopictus","MDR",7.30842118092099e-05,9.52027857779563,39.1435976864494,25
"26","Aedes albopictus","MDR",7.31826088375777e-05,10.1801357093374,39.213061796872,26
"27","Aedes albopictus","MDR",7.48176974874018e-05,8.93459606114005,38.337327940866,27
"28","Aedes albopictus","MDR",7.80573513428729e-05,9.93940196324142,38.3552884304405,28
"29","Aedes albopictus","MDR",7.52709410731042e-05,11.9848253042283,39.2582579554334,29
"30","Aedes albopictus","MDR",7.75922245055693e-05,10.934320804153,39.1220565520727,30
"31","Aedes albopictus","MDR",7.71659172444214e-05,11.2024900252569,39.2915252063993,31
"32","Aedes albopictus","MDR",8.53634859380763e-05,11.1158732238206,37.8858190042142,32
